company_name,domain_name,stars,reviews,full_address,details_adress,position,hours,marcket_site,web_site,email,phone_number
Prime Pizza,Pizza restaurant,4.3 stars ,142 reviews,"12219 Santa Monica Blvd Ste201, Los Angeles, CA 90025, United States",Floor 1 · Palm Plaza,"2GRP+22 Los Angeles, California, USA",,,http://primepizza.la/,,+1 3103303222
Pepe’s Ny Pizza,Pizza restaurant,4.4 stars ,129 reviews,"11946 Ventura Blvd, Studio City, CA 91604, United States",,"4JV5+72 Studio City, Los Angeles, CA, USA",,,https://www.pepesnypizzamenu.com/?utm_source=gbp,,+1 8183582233
Fatte's Pizza of Simi Valley,Pizza restaurant,4.5 stars ,140 reviews,"605 E Los Angeles Ave, Simi Valley, CA 93065, United States",Located in: Madera Plaza,"76C7+QR Simi Valley, California, USA",,,http://www.fattessimivalley.com/,,+1 8055220801
Pinball Pizza,Pizza delivery,4.5 stars ,134 reviews,"2109 W Magnolia Blvd, Burbank, CA 91506, United States",,"5MF9+9H Burbank, California, USA",,,http://www.pinballpizza.net/,,+1 8188462055
Tumby’s Pizza,Pizza restaurant,4.3 stars ,424 reviews,"3567 S Western Ave, Los Angeles, CA 90018, United States",,"2MFR+78 Los Angeles, California, USA",,,https://www.tumbys.com/,,+1 3237350534
Piara Pizza Normandie & Century,Pizza restaurant,4.3 stars ,269 reviews,"10111 Normandie Ave, Los Angeles, CA 90044, United States",,"WMVX+WR Los Angeles, California, USA",,,https://order.chownow.com/order/6604/locations?cn_script=true,,+1 3239206700
NY Style Central Park Pizza,Pizza restaurant,4.4 stars ,92 reviews,"220 N Victory Blvd, Burbank, CA 91502, United States",,"5MGM+55 Burbank, California, USA",,,http://www.centralparkpizza.com/,,+1 8189537492
Fat Tomato Pizza (K-TOWN),Pizza restaurant,4.2 stars ,166 reviews,"301 S Western Ave #104, Los Angeles, CA 90020, United States",Floor 1 · Western Village,"3M9R+F5 Los Angeles, California, USA",,,https://www.gofattomato.com/#koreatown,,+1 2132771900
Piara Pizza,Pizza restaurant,4.5 stars ,344 reviews,"4165 Beverly Blvd #90004, Los Angeles, CA 90004, United States",,"3MGX+MX Los Angeles, California, USA",,,http://www.piarapizza.com/,,+1 3239068282
Johnnie's New York Pizzeria,Pizza restaurant,4.0 stars ,137 reviews,"2805 Abbot Kinney Blvd, Venice, CA 90291, United States",,"XGQW+7R Venice, Los Angeles, CA, USA",,,https://slicelife.com/restaurants/ca/venice/90291/johnnie-s-ny-pizza/menu,,+1 3108211224
Caioti Pizza Cafe,Pizza restaurant,4.4 stars ,249 reviews,"4346 Tujunga Ave, Studio City, CA 91604, United States",,"4JXC+JF Studio City, Los Angeles, CA, USA",,,http://caiotipizzacafemenu.com/?utm_source=gbp,,+1 8187613588
Alfredo's Pizza,Pizza restaurant,4.4 stars ,147 reviews,"5450 W Pico Blvd # 101, Los Angeles, CA 90019, United States",,"2JXV+C4 Los Angeles, California, USA",,,https://alfredosspizza.com/,,+1 3234247600
Stuft Pizza & Catering,Pizza restaurant,4.4 stars ,199 reviews,"400 Main St, El Segundo, CA 90245, United States",,"WHCM+9P El Segundo, California, USA",,,,,+1 4243210398
Lucifers Pizza,Pizza restaurant,4.2 stars ,381 reviews,"7123 Melrose Ave, Los Angeles, CA 90046, United States",,"3MM3+FX Los Angeles, California, USA",,,http://www.luciferspizza.com/,,+1 3234244230
Ramon’s Famous Pizza,Pizza restaurant,4.3 stars ,163 reviews,"6726 Lankershim Blvd, North Hollywood, CA 91606, United States",,"5JV7+52 North Hollywood, Los Angeles, CA, USA",,,https://www.2for1pizzamenu.com/,,+1 8185031011
Prince Street Pizza,Pizza restaurant,3.9 stars ,163 reviews,"326 Lincoln Blvd, Venice, CA 90291, United States",,"2G2M+C8 Venice, Los Angeles, CA, USA",,,https://locations.princestreetpizza.com/venice,,+1 3103103086
California Pizza Kitchen at Santa Monica,Pizza restaurant,4.3 stars ,505 reviews,"210 Wilshire Blvd, Santa Monica, CA 90401, United States",Floor 1 · SMC Emeritus,"2G92+44 Santa Monica, California, USA",,,https://order.cpk.com/menu/california-pizza-kitchen-santa-monica/?utm_source=SocialMedia&utm_medium=MF,,+1 3103939335
Slash Pizza,Pizza restaurant,4.4 stars ,145 reviews,"6520 San Fernando Rd Unit A, Glendale, CA 91201, United States",,"5P95+7P Glendale, California, USA",,,https://food.orders.co/slashpizza?y_source=1_MTAxMzIyMDg1MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,+1 8182464151
Friends and Family Pizza Co,Pizza restaurant,4.3 stars ,46 reviews,"Located next to DuPars by Fairfax, 6333 W 3rd St Suite 310, Los Angeles, CA 90036, United States",Floor 1 · The Original Farmers Market,"3JCQ+QV Los Angeles, California, USA",,,http://www.ffpizzaco.com/,,+1 3238799366
Plank 47 Pizza,Pizza restaurant,4.2 stars ,109 reviews,"4551 S Centinela Ave, Los Angeles, CA 90066, United States",,"XHRH+P3 Los Angeles, California, USA",,,,,+1 3103063858
Lenzini's Pizza,Pizza restaurant,4.4 stars ,104 reviews,"12740 Culver Blvd Suite B, Los Angeles, CA 90066, United States",,"XHPG+64 Los Angeles, California, USA",,,https://www.lenzinisca.com/,,+1 3103050305
Union Pizza Company,Pizza restaurant,4.0 stars ,259 reviews,"1570 Rosecrans Ave Ste K, Manhattan Beach, CA 90266, United States",Located in: Manhattan Market Place,"WJ27+6Q Manhattan Beach, California, USA",,,https://unionpizzacompany.com/,,+1 3105369888
Milans Pizza & Wings,Pizza restaurant,4.3 stars ,44 reviews,"11009 Burbank Blvd Suite 120, North Hollywood, CA 91601, United States",,"5JFH+4M North Hollywood, Los Angeles, CA, USA",,,https://milanspizzasandwings.com/?utm_source=google,,+1 7472031018
California Pizza Kitchen,Pizza restaurant,4.3 stars ,"1,835 reviews","735 South Figueroa Street, 7th St Space 305, Los Angeles, CA 90017, United States",Floor 1 · FIGat7th,"2PXQ+MM Los Angeles, California, USA",,,https://order.cpk.com/menu/california-pizza-kitchen-7th-street/?utm_source=GMB&utm_medium=GMB,,+1 2132288500
Blaze Pizza,Pizza restaurant,4.5 stars ,"1,338 reviews","667 E Colorado Blvd, Pasadena, CA 91101, United States",,"4VW7+C8 Pasadena, California, USA",,,https://locations.blazepizza.com/ca/pasadena/667-east-colorado-blvd.?utm_source=gmb&utm_medium=yext,,+1 6268025352
